Experiment,Scalar,Vector
0,3558,2473
1,2600,2562
2,2916,2529
3,2982,2602
4,2993,2659
5,2879,2583
6,2842,2605
7,2530,2546
8,2602,2662
9,2542,2885
10,3444.4,2610.6
